operation_id,equipment_id,start_time,end_time,operation_status,stop_reason,stop_category,operator_id,notes,created_at
1,INJ-001,2024-01-01 08:00:00,2024-01-01 09:44:04,RUNNING,,,OP003,,2026-01-30 00:43:52
2,INJ-001,2024-01-01 09:47:04,2024-01-01 10:27:25,IDLE,휴식,계획정지,OP001,,2026-01-30 00:43:52
3,INJ-001,2024-01-01 10:28:25,2024-01-01 12:10:18,RUNNING,,,OP002,,2026-01-30 00:43:52
4,INJ-001,2024-01-01 12:20:18,2024-01-01 15:29:11,RUNNING,,,OP002,,2026-01-30 00:43:52
5,INJ-001,2024-01-01 15:38:11,2024-01-01 18:24:15,RUNNING,,,OP010,,2026-01-30 00:43:52
6,INJ-001,2024-01-01 18:25:15,2024-01-01 19:36:56,BREAKDOWN,전기 이상,고장정지,OP009,,2026-01-30 00:43:52
7,INJ-002,2024-01-01 08:00:00,2024-01-01 09:17:24,RUNNING,,,OP010,,2026-01-30 00:43:52
8,INJ-002,2024-01-01 09:23:24,2024-01-01 12:34:45,RUNNING,,,OP001,,2026-01-30 00:43:52
9,INJ-002,2024-01-01 12:43:45,2024-01-01 13:57:56,RUNNING,,,OP010,,2026-01-30 00:43:52
10,INJ-002,2024-01-01 14:02:56,2024-01-01 14:48:45,IDLE,전공정 대기,기타,OP002,,2026-01-30 00:43:52
11,INJ-002,2024-01-01 14:49:45,2024-01-01 18:47:06,RUNNING,,,OP003,,2026-01-30 00:43:52
12,INJ-002,2024-01-01 18:51:06,2024-01-01 19:10:54,IDLE,점심시간,계획정지,OP003,,2026-01-30 00:43:52
13,INJ-002,2024-01-01 19:16:54,2024-01-01 22:23:14,RUNNING,,,OP003,,2026-01-30 00:43:52
14,INJ-002,2024-01-01 22:25:14,2024-01-01 23:59:59,RUNNING,,,OP004,,2026-01-30 00:43:52
15,PRESS-001,2024-01-01 08:00:00,2024-01-01 11:58:06,RUNNING,,,OP003,,2026-01-30 00:43:52
16,PRESS-001,2024-01-01 12:07:06,2024-01-01 15:38:49,RUNNING,,,OP003,,2026-01-30 00:43:52
17,PRESS-001,2024-01-01 15:39:49,2024-01-01 19:04:44,RUNNING,,,OP001,,2026-01-30 00:43:52
18,PRESS-001,2024-01-01 19:11:44,2024-01-01 22:56:06,RUNNING,,,OP002,,2026-01-30 00:43:52
19,PRESS-001,2024-01-01 23:06:06,2024-01-01 23:59:59,IDLE,점심시간,계획정지,OP005,,2026-01-30 00:43:52
20,PRESS-002,2024-01-01 08:00:00,2024-01-01 11:14:05,RUNNING,,,OP002,,2026-01-30 00:43:52
21,PRESS-002,2024-01-01 11:23:05,2024-01-01 15:04:42,RUNNING,,,OP010,,2026-01-30 00:43:52
22,PRESS-002,2024-01-01 15:11:42,2024-01-01 17:43:25,RUNNING,,,OP002,,2026-01-30 00:43:52
23,PRESS-002,2024-01-01 17:45:25,2024-01-01 18:35:26,IDLE,작업 지시 대기,기타,OP002,,2026-01-30 00:43:52
24,PRESS-002,2024-01-01 18:42:26,2024-01-01 20:51:07,RUNNING,,,OP010,,2026-01-30 00:43:52
25,PRESS-002,2024-01-01 20:59:07,2024-01-01 23:59:59,RUNNING,,,OP006,,2026-01-30 00:43:52
26,ASM-001,2024-01-01 08:00:00,2024-01-01 11:18:20,RUNNING,,,OP003,,2026-01-30 00:43:52
27,ASM-001,2024-01-01 11:24:20,2024-01-01 12:52:48,RUNNING,,,OP010,,2026-01-30 00:43:52
28,ASM-001,2024-01-01 12:53:48,2024-01-01 13:30:11,IDLE,자재 대기,자재대기,OP002,,2026-01-30 00:43:52
29,ASM-001,2024-01-01 13:32:11,2024-01-01 14:01:11,SETUP,설정 변경,계획정지,OP002,,2026-01-30 00:43:52
30,ASM-001,2024-01-01 14:04:11,2024-01-01 16:51:59,RUNNING,,,OP001,,2026-01-30 00:43:52
31,ASM-001,2024-01-01 16:59:59,2024-01-01 20:38:10,RUNNING,,,OP003,,2026-01-30 00:43:52
32,INJ-001,2024-01-02 08:00:00,2024-01-02 09:15:25,RUNNING,,,OP001,,2026-01-30 00:43:52
33,INJ-001,2024-01-02 09:23:25,2024-01-02 09:41:34,IDLE,휴식,계획정지,OP002,,2026-01-30 00:43:52
34,INJ-001,2024-01-02 09:49:34,2024-01-02 12:44:14,BREAKDOWN,기계 파손,고장정지,OP009,,2026-01-30 00:43:52
35,INJ-001,2024-01-02 12:53:14,2024-01-02 13:53:00,IDLE,전공정 대기,기타,OP010,,2026-01-30 00:43:52
36,INJ-001,2024-01-02 13:59:00,2024-01-02 15:20:46,RUNNING,,,OP010,,2026-01-30 00:43:52
37,INJ-001,2024-01-02 15:24:46,2024-01-02 18:10:40,RUNNING,,,OP001,,2026-01-30 00:43:52
38,INJ-001,2024-01-02 18:14:40,2024-01-02 19:27:27,RUNNING,,,OP001,,2026-01-30 00:43:52
39,INJ-002,2024-01-02 08:00:00,2024-01-02 11:34:44,RUNNING,,,OP001,,2026-01-30 00:43:52
40,INJ-002,2024-01-02 11:36:44,2024-01-02 14:37:09,RUNNING,,,OP003,,2026-01-30 00:43:52
41,INJ-002,2024-01-02 14:41:09,2024-01-02 16:24:53,RUNNING,,,OP010,,2026-01-30 00:43:52
42,INJ-002,2024-01-02 16:32:53,2024-01-02 17:16:23,SETUP,금형 교체,계획정지,OP010,,2026-01-30 00:43:52
43,INJ-002,2024-01-02 17:23:23,2024-01-02 20:24:36,RUNNING,,,OP001,,2026-01-30 00:43:52
44,INJ-002,2024-01-02 20:26:36,2024-01-02 22:27:40,RUNNING,,,OP006,,2026-01-30 00:43:52
45,INJ-002,2024-01-02 22:29:40,2024-01-02 23:59:59,RUNNING,,,OP004,,2026-01-30 00:43:52
46,PRESS-001,2024-01-02 08:00:00,2024-01-02 09:44:57,RUNNING,,,OP010,,2026-01-30 00:43:52
47,PRESS-001,2024-01-02 09:46:57,2024-01-02 10:56:04,RUNNING,,,OP001,,2026-01-30 00:43:52
48,PRESS-001,2024-01-02 11:05:04,2024-01-02 11:36:34,IDLE,작업 지시 대기,기타,OP002,,2026-01-30 00:43:52
49,PRESS-001,2024-01-02 11:44:34,2024-01-02 15:27:01,RUNNING,,,OP010,,2026-01-30 00:43:52
50,PRESS-001,2024-01-02 15:30:01,2024-01-02 17:17:45,RUNNING,,,OP010,,2026-01-30 00:43:52
51,PRESS-001,2024-01-02 17:25:45,2024-01-02 18:53:37,RUNNING,,,OP010,,2026-01-30 00:43:52
