sensor_id,equipment_id,measurement_time,temperature,pressure,vibration,current,voltage,rpm,created_at
1,INJ-001,2024-01-01 00:00:00,183.93,148.65,2.6838,48.05,218.83,1795.32,2026-01-30 00:45:52
2,INJ-002,2024-01-01 00:00:00,173.06,144.23,2.2576,39.17,211.38,1738.75,2026-01-30 00:45:52
3,PRESS-001,2024-01-01 00:00:00,82.29,202.09,3.4924,120.14,372.88,489.11,2026-01-30 00:45:52
4,PRESS-002,2024-01-01 00:00:00,87.62,194.68,3.7005,121.7,379.93,498.85,2026-01-30 00:45:52
5,ASM-001,2024-01-01 00:00:00,20.78,-0.94,1.1674,16.48,220.86,97.69,2026-01-30 00:45:52
6,INJ-001,2024-01-01 01:00:00,179.26,155.23,2.6619,41.47,221.62,1792.3,2026-01-30 00:45:52
7,INJ-002,2024-01-01 01:00:00,172.22,141.68,2.4475,44.95,217.6,1746.29,2026-01-30 00:45:52
8,PRESS-001,2024-01-01 01:00:00,89.25,199.71,3.8572,120.72,376.77,507.23,2026-01-30 00:45:52
9,PRESS-002,2024-01-01 01:00:00,82.54,201.18,6.4978,117.4,380.46,480.25,2026-01-30 00:45:52
10,ASM-001,2024-01-01 01:00:00,24.48,3.77,1.1965,16.83,221.64,89.4,2026-01-30 00:45:52
11,INJ-001,2024-01-01 02:00:00,179.78,146.19,2.3795,42.07,221.48,1805.22,2026-01-30 00:45:52
12,INJ-002,2024-01-01 02:00:00,174.57,142.44,2.0759,43.81,229.43,1753.49,2026-01-30 00:45:52
13,PRESS-001,2024-01-01 02:00:00,83.78,202.47,4.0678,119.62,381.51,499.31,2026-01-30 00:45:52
14,PRESS-002,2024-01-01 02:00:00,88.59,194.14,4.0905,115.2,382.93,563.81,2026-01-30 00:45:52
15,ASM-001,2024-01-01 02:00:00,25.54,-0.22,1.1815,12.88,222.37,81.61,2026-01-30 00:45:52
16,INJ-001,2024-01-01 03:00:00,181.3,143.83,2.4134,47.61,211.96,1803.69,2026-01-30 00:45:52
17,INJ-002,2024-01-01 03:00:00,176.34,144.46,2.5367,43.69,216.6,1754.65,2026-01-30 00:45:52
18,PRESS-001,2024-01-01 03:00:00,85.13,198.35,3.6726,118.05,383.94,523.17,2026-01-30 00:45:52
19,PRESS-002,2024-01-01 03:00:00,89.57,204.37,3.7786,116.49,375.55,503.68,2026-01-30 00:45:52
20,ASM-001,2024-01-01 03:00:00,25.8,3.9,1.539,14.47,233.6,112.51,2026-01-30 00:45:52
21,INJ-001,2024-01-01 04:00:00,179.96,152.57,2.4701,44.85,215.77,1769.7,2026-01-30 00:45:52
22,INJ-002,2024-01-01 04:00:00,175.7,147.28,2.2315,43.31,220.29,1727.14,2026-01-30 00:45:52
23,PRESS-001,2024-01-01 04:00:00,90.96,197.01,3.426,121.03,382.57,510.3,2026-01-30 00:45:52
24,PRESS-002,2024-01-01 04:00:00,89.42,200.12,3.9684,119.52,376.14,515.26,2026-01-30 00:45:52
25,ASM-001,2024-01-01 04:00:00,20.19,6.63,0.9454,14.06,225.44,101.29,2026-01-30 00:45:52
26,INJ-001,2024-01-01 05:00:00,176.14,149.33,2.5944,43.7,230.72,1812.68,2026-01-30 00:45:52
27,INJ-002,2024-01-01 05:00:00,172.94,143.35,2.5775,44.73,214.0,1743.31,2026-01-30 00:45:52
28,PRESS-001,2024-01-01 05:00:00,85.33,198.75,3.6128,124.24,385.16,469.61,2026-01-30 00:45:52
29,PRESS-002,2024-01-01 05:00:00,88.64,197.83,3.7779,117.88,363.79,499.51,2026-01-30 00:45:52
30,ASM-001,2024-01-01 05:00:00,22.15,2.72,1.2724,17.88,212.82,123.26,2026-01-30 00:45:52
31,INJ-001,2024-01-01 06:00:00,181.93,152.47,2.3188,44.23,220.57,1813.24,2026-01-30 00:45:52
32,INJ-002,2024-01-01 06:00:00,174.11,148.46,2.3919,41.75,218.96,1740.14,2026-01-30 00:45:52
33,PRESS-001,2024-01-01 06:00:00,83.05,204.19,3.6225,121.63,383.15,483.42,2026-01-30 00:45:52
34,PRESS-002,2024-01-01 06:00:00,87.74,200.55,6.7264,116.82,382.74,515.96,2026-01-30 00:45:52
