timestamp,equipment_id,power_kwh,voltage,current,power_factor
2024-01-01 00:00:00,LINE-A-01,3.91,215.1,19.75,0.908
2024-01-01 00:15:00,LINE-A-01,5.26,216.8,26.38,0.899
2024-01-01 00:30:00,LINE-A-01,5.88,219.0,29.18,0.939
2024-01-01 00:45:00,LINE-A-01,6.06,214.7,30.67,0.895
2024-01-01 01:00:00,LINE-A-01,5.07,221.6,24.88,0.949
2024-01-01 01:15:00,LINE-A-01,4.74,217.7,23.65,0.959
2024-01-01 01:30:00,LINE-A-01,5.31,225.3,25.62,0.902
2024-01-01 01:45:00,LINE-A-01,5.41,213.3,27.54,0.928
2024-01-01 02:00:00,LINE-A-01,6.57,219.0,32.61,0.903
2024-01-01 02:15:00,LINE-A-01,4.76,215.0,24.09,0.937
2024-01-01 02:30:00,LINE-A-01,7.38,214.6,37.39,0.932
2024-01-01 02:45:00,LINE-A-01,6.45,221.6,31.61,0.93
2024-01-01 03:00:00,LINE-A-01,7.16,214.7,36.25,0.856
2024-01-01 03:15:00,LINE-A-01,6.63,216.8,33.23,0.913
2024-01-01 03:30:00,LINE-A-01,7.79,221.1,38.3,0.899
2024-01-01 03:45:00,LINE-A-01,6.05,214.3,30.71,0.921
2024-01-01 04:00:00,LINE-A-01,8.01,218.5,39.87,0.963
2024-01-01 04:15:00,LINE-A-01,5.42,222.1,26.53,0.906
2024-01-01 04:30:00,LINE-A-01,4.42,220.1,21.84,0.934
2024-01-01 04:45:00,LINE-A-01,8.8,207.8,46.0,0.96
2024-01-01 05:00:00,LINE-A-01,6.37,220.7,31.36,0.95
2024-01-01 05:15:00,LINE-A-01,5.22,215.8,26.31,0.935
2024-01-01 05:30:00,LINE-A-01,5.82,216.0,29.3,0.908
2024-01-01 05:45:00,LINE-A-01,5.3,225.2,25.57,0.91
2024-01-01 06:00:00,LINE-A-01,7.29,216.9,36.54,0.914
2024-01-01 06:15:00,LINE-A-01,4.41,222.6,21.52,0.936
2024-01-01 06:30:00,LINE-A-01,4.04,215.8,20.36,0.934
2024-01-01 06:45:00,LINE-A-01,5.27,226.7,25.25,0.932
2024-01-01 07:00:00,LINE-A-01,6.36,210.4,32.87,0.903
2024-01-01 07:15:00,LINE-A-01,4.47,218.7,22.2,0.883
2024-01-01 07:30:00,LINE-A-01,6.64,220.5,32.72,0.914
2024-01-01 07:45:00,LINE-A-01,5.34,225.8,25.71,0.953
2024-01-01 08:00:00,LINE-A-01,17.2,226.1,82.69,0.97
2024-01-01 08:15:00,LINE-A-01,19.01,210.9,97.96,0.942
2024-01-01 08:30:00,LINE-A-01,18.78,214.5,95.17,0.923
2024-01-01 08:45:00,LINE-A-01,16.0,219.2,79.35,0.892
2024-01-01 09:00:00,LINE-A-01,17.09,225.8,82.27,0.933
2024-01-01 09:15:00,LINE-A-01,14.83,229.8,70.12,0.884
2024-01-01 09:30:00,LINE-A-01,16.61,218.9,82.47,0.89
2024-01-01 09:45:00,LINE-A-01,18.35,214.7,92.91,0.944
2024-01-01 10:00:00,LINE-A-01,15.55,212.2,79.64,0.931
2024-01-01 10:15:00,LINE-A-01,18.12,221.9,88.75,0.949
2024-01-01 10:30:00,LINE-A-01,19.07,224.1,92.5,0.953
2024-01-01 10:45:00,LINE-A-01,18.02,224.0,87.45,0.928
2024-01-01 11:00:00,LINE-A-01,17.92,221.7,87.84,0.928
2024-01-01 11:15:00,LINE-A-01,18.02,209.1,93.67,0.957
2024-01-01 11:30:00,LINE-A-01,19.99,220.7,98.44,0.932
2024-01-01 11:45:00,LINE-A-01,15.48,218.9,76.86,0.906
2024-01-01 12:00:00,LINE-A-01,4.35,220.1,21.47,0.911
2024-01-01 12:15:00,LINE-A-01,8.21,223.9,39.84,0.953
2024-01-01 12:30:00,LINE-A-01,9.71,215.4,49.02,0.903
2024-01-01 12:45:00,LINE-A-01,7.02,224.2,34.06,0.898
2024-01-01 13:00:00,LINE-A-01,16.9,216.9,84.68,0.933
2024-01-01 13:15:00,LINE-A-01,16.34,216.5,82.03,0.938
2024-01-01 13:30:00,LINE-A-01,17.02,221.9,83.37,0.892
2024-01-01 13:45:00,LINE-A-01,14.24,230.4,67.16,0.947
2024-01-01 14:00:00,LINE-A-01,15.55,213.6,79.15,0.906
2024-01-01 14:15:00,LINE-A-01,15.57,219.0,77.27,0.908
2024-01-01 14:30:00,LINE-A-01,15.69,222.8,76.53,0.924
2024-01-01 14:45:00,LINE-A-01,18.44,221.2,90.61,0.917
2024-01-01 15:00:00,LINE-A-01,20.13,217.4,100.67,0.926
2024-01-01 15:15:00,LINE-A-01,17.53,226.4,84.18,0.916
2024-01-01 15:30:00,LINE-A-01,18.92,216.6,94.95,0.898
2024-01-01 15:45:00,LINE-A-01,19.55,221.1,96.08,0.972
2024-01-01 16:00:00,LINE-A-01,13.3,223.4,64.72,0.92
2024-01-01 16:15:00,LINE-A-01,18.06,217.7,90.16,0.919
2024-01-01 16:30:00,LINE-A-01,14.53,223.2,70.79,0.921
2024-01-01 16:45:00,LINE-A-01,16.73,211.8,85.86,0.937
2024-01-01 17:00:00,LINE-A-01,17.4,226.4,83.52,0.921
2024-01-01 17:15:00,LINE-A-01,15.6,216.5,78.33,0.93
2024-01-01 17:30:00,LINE-A-01,19.33,214.1,98.14,0.914
2024-01-01 17:45:00,LINE-A-01,16.86,220.5,83.13,0.938
2024-01-01 18:00:00,LINE-A-01,10.17,214.4,51.54,0.925
2024-01-01 18:15:00,LINE-A-01,14.82,220.7,72.97,0.894
2024-01-01 18:30:00,LINE-A-01,11.57,230.6,54.55,0.907
2024-01-01 18:45:00,LINE-A-01,11.57,216.2,58.18,0.926
2024-01-01 19:00:00,LINE-A-01,11.51,215.9,57.95,0.929
2024-01-01 19:15:00,LINE-A-01,12.81,216.5,64.31,0.945
2024-01-01 19:30:00,LINE-A-01,11.85,215.0,59.91,0.943
