log_id,production_date,shift,equipment_id,product_code,planned_quantity,actual_quantity,good_quantity,defect_quantity,planned_time_min,actual_operating_time_min,setup_time_min,operator_id
LOG-00001,2024-01-01,주간,EQ-A01,PRD-003,979,753,743.0,10,480,351.9,15.0,OP-004
LOG-00002,2024-01-01,주간,EQ-A02,PRD-001,816,690,680.0,10,480,402.9,15.0,OP-009
LOG-00003,2024-01-01,주간,EQ-A03,PRD-004,699,426,407.0,19,480,313.3,25.0,OP-008
LOG-00004,2024-01-01,주간,EQ-A04,PRD-003,979,745,732.0,13,480,363.1,40.0,OP-004
LOG-00005,2024-01-01,주간,EQ-B02,PRD-003,979,954,953.0,1,480,441.3,20.0,OP-018
LOG-00006,2024-01-01,주간,EQ-B03,PRD-004,699,674,662.0,12,480,416.3,30.0,OP-019
LOG-00007,2024-01-01,주간,EQ-B04,PRD-006,1224,1217,,5,480,434.4,15.0,OP-002
LOG-00008,2024-01-01,주간,EQ-C01,PRD-001,816,730,721.0,9,480,417.3,15.0,OP-003
LOG-00009,2024-01-01,주간,EQ-C02,PRD-001,816,784,771.0,13,480,407.1,30.0,OP-008
LOG-00010,2024-01-01,주간,EQ-C03,PRD-004,699,598,584.0,14,480,382.1,20.0,OP-018
LOG-00011,2024-01-01,주간,EQ-C04,PRD-003,979,785,774.0,11,480,368.2,30.0,OP-018
LOG-00012,2024-01-01,야간,EQ-A01,PRD-002,544,82,79.0,3,480,361.9,30.0,OP-008
LOG-00013,2024-01-01,야간,EQ-A02,PRD-002,544,384,373.0,11,480,335.0,15.0,OP-019
LOG-00014,2024-01-01,야간,EQ-A03,PRD-005,408,273,261.0,12,480,340.3,15.0,OP-001
LOG-00015,2024-01-01,야간,EQ-A04,PRD-003,979,779,763.0,16,480,364.4,15.0,OP-014
LOG-00016,2024-01-01,야간,EQ-B01,PRD-002,544,521,513.0,8,480,430.0,,OP-009
LOG-00017,2024-01-01,야간,EQ-B02,PRD-001,816,739,732.0,7,480,381.5,25.0,OP-007
LOG-00018,2024-01-01,야간,EQ-B03,PRD-005,408,357,347.0,10,480,404.3,20.0,OP-004
LOG-00019,2024-01-01,야간,EQ-B04,PRD-003,979,956,951.0,5,480,414.5,30.0,OP-013
LOG-00020,2024-01-01,야간,EQ-C01,PRD-001,816,765,750.0,15,480,388.6,25.0,OP-012
LOG-00021,2024-01-01,야간,EQ-C02,PRD-002,544,501,491.0,10,480,406.1,25.0,OP-020
LOG-00022,2024-01-01,야간,EQ-C03,PRD-005,408,331,318.0,13,480,364.9,25.0,OP-002
LOG-00023,2024-01-02,주간,EQ-A01,PRD-003,979,764,756.0,8,480,350.6,40.0,OP-015
LOG-00024,2024-01-02,주간,EQ-A02,PRD-003,979,830,812.0,18,480,382.2,30.0,OP-004
LOG-00025,2024-01-02,주간,EQ-A03,PRD-005,408,323,309.0,14,480,351.1,25.0,OP-003
LOG-00026,2024-01-02,주간,EQ-A04,PRD-006,1224,991,974.0,17,480,354.1,25.0,OP-020
LOG-00027,2024-01-02,주간,EQ-B01,PRD-002,544,520,513.0,7,480,420.6,20.0,OP-019
LOG-00028,2024-01-02,주간,EQ-B02,PRD-001,816,813,809.0,4,480,418.5,25.0,OP-003
