defect_id,defect_date,line,shift,product_code,defect_type,cause,severity,defect_qty,action,inspector_id
DEF-00001,2024-01-01,A라인,야간,PRD-004,외관불량,스크래치,보통,11,재작업,INS-05
DEF-00002,2024-01-01,A라인,주간,PRD-001,표면조도불량,소재불량,보통,1,특채(조건부합격),INS-05
DEF-00003,2024-01-01,A라인,야간,PRD-004,치수불량,셋업오류,보통,7,폐기,INS-01
DEF-00004,2024-01-02,A라인,야간,PRD-003,치수불량,공구마모,보통,3,폐기,INS-01
DEF-00005,2024-01-02,A라인,야간,PRD-004,형상불량,평탄도초과,보통,1,특채(조건부합격),INS-07
DEF-00006,2024-01-02,A라인,주간,PRD-001,외관불량,이물질부착,경미,14,재작업,INS-06
DEF-00007,2024-01-02,B라인,야간,PRD-006,형상불량,프로그램오류,보통,11,재작업,INS-07
DEF-00008,2024-01-02,C라인,야간,PRD-005,외관불량,이물질부착,경미,2,특채(조건부합격),INS-04
DEF-00009,2024-01-02,C라인,야간,PRD-001,외관불량,찍힘,경미,11,특채(조건부합격),INS-05
DEF-00010,2024-01-03,A라인,야간,PRD-003,표면조도불량,절삭조건부적합,심각,24,폐기,INS-02
DEF-00011,2024-01-03,A라인,주간,PRD-003,표면조도불량,공구마모,보통,6,재작업,INS-01
DEF-00012,2024-01-03,C라인,야간,PRD-003,기타,라벨오류,보통,13,재작업,INS-04
DEF-00013,2024-01-03,C라인,야간,PRD-001,치수불량,소재경도편차,보통,6,특채(조건부합격),INS-08
DEF-00014,2024-01-03,C라인,야간,PRD-005,외관불량,이물질부착,심각,15,반품,INS-01
DEF-00015,2024-01-03,C라인,야간,PRD-001,외관불량,이물질부착,보통,6,특채(조건부합격),INS-07
DEF-00016,2024-01-04,A라인,야간,PRD-001,외관불량,스크래치,경미,13,특채(조건부합격),INS-07
DEF-00017,2024-01-05,A라인,야간,PRD-001,크랙,소재결함,심각,5,폐기,INS-07
DEF-00018,2024-01-05,A라인,주간,PRD-003,치수불량,측정오류,경미,4,재작업,INS-05
DEF-00019,2024-01-05,B라인,야간,PRD-002,크랙,열처리불량,경미,3,특채(조건부합격),INS-08
DEF-00020,2024-01-06,A라인,주간,PRD-003,외관불량,변색,보통,11,폐기,INS-02
DEF-00021,2024-01-06,B라인,야간,PRD-002,기타,라벨오류,보통,12,폐기,INS-04
DEF-00022,2024-01-06,C라인,야간,PRD-003,치수불량,열변형,경미,14,재작업,INS-03
DEF-00023,2024-01-06,C라인,주간,PRD-003,치수불량,셋업오류,경미,10,특채(조건부합격),INS-07
DEF-00024,2024-01-06,C라인,야간,PRD-003,치수불량,열변형,보통,6,특채(조건부합격),INS-06
DEF-00025,2024-01-08,A라인,야간,PRD-001,기타,라벨오류,보통,7,재작업,INS-06
DEF-00026,2024-01-08,C라인,야간,PRD-001,치수불량,소재경도편차,보통,7,특채(조건부합격),INS-06
DEF-00027,2024-01-08,C라인,야간,PRD-003,외관불량,이물질부착,경미,9,특채(조건부합격),INS-08
DEF-00028,2024-01-09,A라인,주간,PRD-004,표면조도불량,냉각부족,보통,7,폐기,INS-05
DEF-00029,2024-01-09,A라인,주간,PRD-004,형상불량,동축도초과,보통,3,폐기,INS-07
DEF-00030,2024-01-09,C라인,야간,PRD-003,표면조도불량,절삭조건부적합,경미,7,특채(조건부합격),INS-07
DEF-00031,2024-01-09,C라인,주간,PRD-005,표면조도불량,소재불량,경미,1,재작업,INS-07
DEF-00032,2024-01-10,A라인,야간,PRD-003,치수불량,,보통,10,폐기,INS-04
DEF-00033,2024-01-10,A라인,야간,PRD-004,치수불량,소재경도편차,심각,9,반품,INS-06
DEF-00034,2024-01-10,A라인,야간,PRD-001,치수불량,열변형,심각,15,폐기,INS-01
DEF-00035,2024-01-10,A라인,야간,PRD-001,치수불량,공구마모,보통,10,특채(조건부합격),INS-01
DEF-00036,2024-01-10,B라인,주간,PRD-002,형상불량,진원도초과,보통,9,폐기,INS-01
DEF-00037,2024-01-10,B라인,야간,PRD-005,형상불량,동축도초과,경미,12,특채(조건부합격),INS-08
DEF-00038,2024-01-10,B라인,야간,PRD-005,치수불량,열변형,심각,9,반품,INS-07
DEF-00039,2024-01-10,C라인,주간,PRD-005,표면조도불량,냉각부족,경미,14,특채(조건부합격),INS-01
DEF-00040,2024-01-11,A라인,주간,PRD-003,외관불량,찍힘,심각,24,폐기,INS-05
DEF-00041,2024-01-11,A라인,주간,PRD-004,외관불량,스크래치,보통,14,폐기,INS-01
DEF-00042,2024-01-11,C라인,주간,PRD-001,크랙,과부하가공,심각,9,반품,INS-05
DEF-00043,2024-01-11,C라인,야간,PRD-003,표면조도불량,소재불량,경미,10,재작업,INS-04
DEF-00044,2024-01-12,A라인,야간,PRD-004,치수불량,소재경도편차,보통,14,폐기,INS-07
DEF-00045,2024-01-12,A라인,야간,PRD-003,외관불량,이물질부착,경미,14,특채(조건부합격),INS-08
DEF-00046,2024-01-12,C라인,야간,PRD-003,치수불량,셋업오류,보통,7,,INS-08
