param_id,record_date,shift,line,product_code,temperature_c,pressure_bar,spindle_speed_rpm,feed_rate_mmmin,coolant_flow_lmin,vibration_mms,has_defect
PP-00001,2024-01-01,주간,A라인,PRD-004,42.8,3.75,3343.0,217.5,14.8,0.526,0
PP-00002,2024-01-01,주간,A라인,PRD-001,40.0,5.23,2751.0,207.9,16.2,0.323,0
PP-00003,2024-01-01,야간,A라인,PRD-003,44.0,4.94,2912.0,199.2,17.4,0.751,0
PP-00004,2024-01-01,야간,A라인,PRD-004,38.7,5.21,2736.0,160.1,13.8,0.826,0
PP-00005,2024-01-01,주간,B라인,PRD-006,38.3,4.68,3143.0,191.9,13.5,0.47,0
PP-00006,2024-01-01,주간,B라인,PRD-005,36.4,5.19,3217.0,211.3,11.1,0.665,0
PP-00007,2024-01-01,야간,B라인,PRD-002,35.2,4.05,3086.0,191.5,11.9,0.674,0
PP-00008,2024-01-01,야간,B라인,PRD-005,36.1,5.61,2874.0,205.9,9.6,0.141,0
PP-00009,2024-01-01,주간,C라인,PRD-001,33.6,4.83,2830.0,206.1,13.5,0.111,0
PP-00010,2024-01-01,주간,C라인,PRD-001,40.7,4.86,3317.0,182.6,13.7,0.237,0
PP-00011,2024-01-01,야간,C라인,PRD-001,45.6,5.85,2945.0,226.8,16.9,0.205,0
PP-00012,2024-01-01,야간,C라인,PRD-005,35.2,5.74,2929.0,186.4,14.2,0.14,0
PP-00013,2024-01-02,주간,A라인,PRD-004,44.7,4.64,2976.0,212.5,12.7,0.287,0
PP-00014,2024-01-02,주간,A라인,PRD-001,46.0,4.19,3218.0,158.5,13.1,0.544,0
PP-00015,2024-01-02,야간,A라인,PRD-004,44.6,4.9,2760.0,186.0,14.7,0.606,0
PP-00016,2024-01-02,야간,A라인,PRD-003,,5.07,3463.0,192.9,14.3,0.418,0
PP-00017,2024-01-02,주간,B라인,PRD-005,37.9,4.59,2704.0,195.9,15.3,0.141,0
PP-00018,2024-01-02,주간,B라인,PRD-005,38.3,4.92,3011.0,195.9,14.7,0.272,0
PP-00019,2024-01-02,야간,B라인,PRD-006,34.1,5.79,3083.0,187.0,15.5,0.483,0
PP-00020,2024-01-02,야간,B라인,PRD-005,36.0,6.23,2955.0,202.3,16.6,0.615,0
PP-00021,2024-01-02,주간,C라인,PRD-003,36.8,4.98,2931.0,208.0,15.7,0.519,0
PP-00022,2024-01-02,주간,C라인,PRD-001,,4.94,2889.0,189.9,14.3,0.106,0
PP-00023,2024-01-02,야간,C라인,PRD-003,41.5,5.82,3027.0,199.1,16.0,0.345,0
PP-00024,2024-01-02,야간,C라인,PRD-001,38.4,4.76,3077.0,220.6,13.4,0.253,0
PP-00025,2024-01-03,주간,A라인,PRD-003,47.2,5.25,2826.0,226.6,15.9,0.343,0
PP-00026,2024-01-03,주간,A라인,PRD-001,,4.39,2744.0,201.7,12.8,0.262,0
PP-00027,2024-01-03,야간,A라인,PRD-001,37.5,5.27,2936.0,191.5,12.7,0.401,0
PP-00028,2024-01-03,야간,A라인,PRD-004,39.4,5.44,3015.0,181.9,12.0,0.279,0
PP-00029,2024-01-03,주간,B라인,PRD-005,35.2,5.21,2852.0,221.9,13.8,0.315,0
PP-00030,2024-01-03,주간,B라인,PRD-002,36.1,5.53,3236.0,219.2,13.9,0.119,0
PP-00031,2024-01-03,야간,B라인,PRD-005,37.9,5.29,3056.0,210.7,15.8,0.158,0
PP-00032,2024-01-03,야간,B라인,PRD-002,41.0,5.3,2977.0,187.4,16.4,0.161,0
PP-00033,2024-01-03,주간,C라인,PRD-005,38.9,4.73,3051.0,192.7,17.8,0.194,0
PP-00034,2024-01-03,주간,C라인,PRD-001,38.8,4.64,3041.0,189.3,16.9,0.341,0
PP-00035,2024-01-03,야간,C라인,PRD-001,42.3,5.16,3121.0,225.4,14.6,0.117,1
PP-00036,2024-01-03,야간,C라인,PRD-001,40.9,5.67,2845.0,192.9,16.4,0.394,0
PP-00037,2024-01-04,주간,A라인,PRD-003,37.0,4.53,3148.0,202.7,16.3,1.895,0
PP-00038,2024-01-04,주간,A라인,PRD-003,41.9,4.06,2874.0,205.0,13.8,0.4,0
PP-00039,2024-01-04,야간,A라인,PRD-003,38.6,4.38,2937.0,187.7,16.4,0.269,0
PP-00040,2024-01-04,야간,A라인,PRD-003,45.8,4.67,3009.0,174.0,15.5,0.741,0
PP-00041,2024-01-04,주간,B라인,PRD-006,37.9,4.84,3160.0,191.1,14.4,0.283,0
PP-00042,2024-01-04,주간,B라인,PRD-002,38.0,5.16,2932.0,230.1,12.2,0.934,0
PP-00043,2024-01-04,야간,B라인,PRD-002,41.3,4.61,3204.0,183.9,14.2,0.32,0
PP-00044,2024-01-04,야간,B라인,PRD-006,37.9,5.28,2748.0,195.3,13.4,0.109,1
PP-00045,2024-01-04,주간,C라인,PRD-001,39.9,5.36,2907.0,219.0,16.9,0.23,0
PP-00046,2024-01-04,주간,C라인,PRD-005,37.4,5.14,3211.0,189.7,20.3,0.157,0
PP-00047,2024-01-04,야간,C라인,PRD-003,38.7,4.5,2964.0,192.0,15.0,0.233,0
PP-00048,2024-01-04,야간,C라인,PRD-003,34.5,4.51,2981.0,199.3,13.6,0.261,0
PP-00049,2024-01-05,주간,A라인,PRD-003,41.1,5.14,2953.0,192.2,17.1,0.757,0
PP-00050,2024-01-05,주간,A라인,PRD-004,38.0,5.27,2857.0,232.1,15.9,0.275,0
PP-00051,2024-01-05,야간,A라인,PRD-001,42.2,4.85,2823.0,216.2,13.2,0.397,0
PP-00052,2024-01-05,야간,A라인,PRD-001,38.7,4.9,2864.0,208.0,16.8,0.71,0
PP-00053,2024-01-05,주간,B라인,PRD-002,41.8,4.61,3302.0,204.3,16.2,0.484,0
PP-00054,2024-01-05,주간,B라인,PRD-006,38.7,4.38,2941.0,204.0,13.3,0.525,0
PP-00055,2024-01-05,야간,B라인,PRD-006,37.7,5.17,2773.0,225.5,14.1,0.551,0
PP-00056,2024-01-05,야간,B라인,PRD-006,38.9,4.03,2796.0,197.0,16.9,0.649,0
PP-00057,2024-01-05,주간,C라인,PRD-003,38.7,4.83,2668.0,199.7,13.1,0.367,1
PP-00058,2024-01-05,주간,C라인,PRD-005,43.5,4.71,2845.0,236.2,15.7,0.329,0
PP-00059,2024-01-05,야간,C라인,PRD-005,36.0,3.7,2663.0,211.8,16.4,0.634,0
PP-00060,2024-01-05,야간,C라인,PRD-003,36.7,4.93,3064.0,210.7,12.9,1.211,0
PP-00061,2024-01-06,주간,A라인,PRD-001,42.4,4.61,3348.0,217.5,16.6,0.49,0
PP-00062,2024-01-06,주간,A라인,PRD-004,40.1,4.96,3259.0,217.3,12.7,0.697,0
PP-00063,2024-01-06,주간,B라인,PRD-002,39.5,4.78,2808.0,201.5,18.5,0.501,0
PP-00064,2024-01-06,주간,B라인,PRD-002,39.1,5.41,2684.0,194.8,13.8,0.339,0
PP-00065,2024-01-06,주간,C라인,PRD-001,,5.21,3243.0,232.1,15.8,0.721,1
PP-00066,2024-01-06,주간,C라인,PRD-001,38.5,4.91,3158.0,229.9,18.8,0.25,0
PP-00067,2024-01-08,주간,A라인,PRD-004,37.6,4.56,2947.0,179.5,14.4,0.662,0
PP-00068,2024-01-08,주간,A라인,PRD-001,45.6,4.19,2824.0,161.7,,0.778,0
PP-00069,2024-01-08,야간,A라인,PRD-004,42.3,5.55,3043.0,190.1,16.7,0.417,0
PP-00070,2024-01-08,야간,A라인,PRD-004,45.4,4.91,3121.0,191.3,14.6,0.948,0
PP-00071,2024-01-08,주간,B라인,PRD-006,36.5,5.39,2546.0,217.0,14.5,0.125,0
PP-00072,2024-01-08,주간,B라인,PRD-006,34.8,5.15,3421.0,194.1,11.8,0.433,0
PP-00073,2024-01-08,야간,B라인,PRD-005,36.9,5.29,2923.0,233.3,13.6,0.765,0
PP-00074,2024-01-08,야간,B라인,PRD-002,42.1,5.16,2959.0,176.9,14.1,0.786,0
PP-00075,2024-01-08,주간,C라인,PRD-005,43.2,4.37,2936.0,229.9,13.5,0.146,0
PP-00076,2024-01-08,주간,C라인,PRD-005,45.1,5.15,2952.0,154.6,16.1,0.552,0
PP-00077,2024-01-08,야간,C라인,PRD-005,40.7,5.53,2956.0,170.8,14.5,0.88,0
PP-00078,2024-01-08,야간,C라인,PRD-003,36.7,5.53,2529.0,201.4,15.6,0.435,0
PP-00079,2024-01-09,주간,A라인,PRD-001,43.7,6.47,2705.0,233.1,12.5,1.029,0
