alarm_id,timestamp,equipment_id,alarm_type,alarm_value,threshold,severity,acknowledged,resolved
ALM-00001,2024-01-02 06:00,EQ-A03,CRITICAL_VIBRATION,9.1,8.0,위험,False,False
ALM-00002,2024-01-02 08:00,EQ-A02,CRITICAL_VIBRATION,9.38,8.0,위험,True,True
ALM-00003,2024-01-04 00:00,EQ-B03,HIGH_VIBRATION,6.05,5.0,경고,True,True
ALM-00004,2024-01-04 20:00,EQ-A02,HIGH_VIBRATION,6.96,5.0,경고,False,True
ALM-00005,2024-01-08 18:00,EQ-C01,HIGH_TEMP,59.1,55.0,경고,True,True
ALM-00006,2024-01-10 14:00,EQ-C01,CRITICAL_VIBRATION,9.26,8.0,위험,False,False
ALM-00007,2024-01-11 04:00,EQ-A03,CRITICAL_TEMP,66.8,65.0,위험,False,True
ALM-00008,2024-01-13 06:00,EQ-B02,HIGH_TEMP,55.1,55.0,경고,True,True
ALM-00009,2024-01-13 08:00,EQ-B01,HIGH_VIBRATION,5.78,5.0,경고,True,True
ALM-00010,2024-01-13 20:00,EQ-B02,HIGH_VIBRATION,5.56,5.0,경고,True,False
ALM-00011,2024-01-17 12:00,EQ-A04,CRITICAL_VIBRATION,9.66,8.0,위험,False,False
ALM-00012,2024-01-18 10:00,EQ-B04,CRITICAL_VIBRATION,8.41,8.0,위험,False,True
ALM-00013,2024-01-18 18:00,EQ-C01,HIGH_TEMP,57.6,55.0,경고,True,True
ALM-00014,2024-01-20 08:00,EQ-A02,CRITICAL_VIBRATION,10.28,8.0,위험,,False
ALM-00015,2024-01-20 08:00,EQ-B03,HIGH_VIBRATION,5.58,5.0,경고,True,False
ALM-00016,2024-01-22 06:00,EQ-A03,CRITICAL_VIBRATION,8.61,8.0,위험,False,True
ALM-00017,2024-01-23 02:00,EQ-B03,HIGH_TEMP,57.2,55.0,경고,False,True
ALM-00018,2024-01-23 10:00,EQ-A01,CRITICAL_VIBRATION,8.19,8.0,위험,False,True
ALM-00019,2024-01-23 18:00,EQ-C03,HIGH_TEMP,57.6,55.0,경고,False,False
ALM-00020,2024-01-25 06:00,EQ-A04,HIGH_TEMP,59.7,55.0,경고,True,True
ALM-00021,2024-01-25 08:00,EQ-A03,HIGH_VIBRATION,6.68,5.0,경고,False,False
ALM-00022,2024-01-25 22:00,EQ-B03,HIGH_VIBRATION,6.72,5.0,경고,False,True
ALM-00023,2024-01-26 00:00,EQ-A03,CRITICAL_VIBRATION,9.36,8.0,위험,True,True
ALM-00024,2024-01-29 02:00,EQ-B04,HIGH_VIBRATION,5.49,5.0,경고,True,True
ALM-00025,2024-01-30 00:00,EQ-A03,HIGH_TEMP,56.3,55.0,경고,True,False
ALM-00026,2024-02-01 10:00,EQ-C03,HIGH_VIBRATION,5.56,5.0,경고,True,True
ALM-00027,2024-02-02 10:00,EQ-C04,HIGH_VIBRATION,7.38,5.0,경고,True,True
ALM-00028,2024-02-03 08:00,EQ-A03,CRITICAL_VIBRATION,10.66,8.0,위험,True,True
