sensor_id,timestamp,equipment_id,temperature_c,vibration_mms,current_a,pressure_bar
S-000001,2024-01-01 00:00,EQ-A01,40.3,2.19,15.8,4.75
S-000002,2024-01-01 00:00,EQ-A02,43.6,2.36,13.5,4.83
S-000003,2024-01-01 00:00,EQ-A03,43.7,3.02,16.0,4.85
S-000004,2024-01-01 00:00,EQ-A04,41.5,2.04,12.1,5.21
S-000005,2024-01-01 00:00,EQ-B01,36.7,1.13,11.3,5.42
S-000006,2024-01-01 00:00,EQ-B02,41.4,1.11,12.3,5.71
S-000007,2024-01-01 00:00,EQ-B04,37.3,0.68,10.3,5.25
S-000008,2024-01-01 00:00,EQ-C01,39.6,2.37,13.9,5.07
S-000009,2024-01-01 00:00,EQ-C02,40.9,1.74,15.7,5.0
S-000010,2024-01-01 00:00,EQ-C03,42.8,2.19,14.3,5.01
S-000011,2024-01-01 00:00,EQ-C04,39.5,1.28,12.3,5.28
S-000012,2024-01-01 02:00,EQ-A01,44.3,2.17,14.8,4.9
S-000013,2024-01-01 02:00,EQ-A02,41.5,2.55,15.1,4.91
S-000014,2024-01-01 02:00,EQ-A03,45.1,3.54,15.2,5.09
S-000015,2024-01-01 02:00,EQ-A04,42.1,2.41,11.5,5.27
S-000016,2024-01-01 02:00,EQ-B01,36.6,1.54,13.4,5.29
S-000017,2024-01-01 02:00,EQ-B02,36.1,1.27,13.5,5.42
S-000018,2024-01-01 02:00,EQ-B03,42.6,1.4,13.7,5.53
S-000019,2024-01-01 02:00,EQ-B04,37.7,1.8,12.0,5.61
S-000020,2024-01-01 02:00,EQ-C01,41.0,1.77,14.8,5.13
S-000021,2024-01-01 02:00,EQ-C02,44.3,1.79,14.2,4.95
S-000022,2024-01-01 02:00,EQ-C03,37.5,1.8,14.2,5.26
S-000023,2024-01-01 02:00,EQ-C04,42.1,,11.0,5.54
S-000024,2024-01-01 04:00,EQ-A01,43.0,2.62,13.9,5.17
S-000025,2024-01-01 04:00,EQ-A02,41.1,1.84,14.1,4.91
S-000026,2024-01-01 04:00,EQ-A03,45.7,3.17,14.7,4.97
S-000027,2024-01-01 04:00,EQ-A04,44.5,1.93,11.4,5.07
S-000028,2024-01-01 04:00,EQ-B01,37.2,1.34,14.2,5.2
S-000029,2024-01-01 04:00,EQ-B02,40.8,1.84,13.8,5.83
S-000030,2024-01-01 04:00,EQ-B03,39.5,1.58,14.6,4.82
S-000031,2024-01-01 04:00,EQ-B04,38.3,1.34,10.3,5.72
S-000032,2024-01-01 04:00,EQ-C01,41.3,2.03,13.1,4.98
S-000033,2024-01-01 04:00,EQ-C02,43.5,,15.1,4.79
S-000034,2024-01-01 04:00,EQ-C03,37.4,1.92,14.2,5.18
S-000035,2024-01-01 04:00,EQ-C04,41.1,1.41,11.2,5.43
S-000036,2024-01-01 06:00,EQ-A01,43.4,2.83,14.5,5.45
S-000037,2024-01-01 06:00,EQ-A02,42.0,1.88,15.2,4.91
S-000038,2024-01-01 06:00,EQ-A03,47.5,2.75,15.0,4.84
S-000039,2024-01-01 06:00,EQ-A04,40.9,1.67,11.8,4.98
S-000040,2024-01-01 06:00,EQ-B01,35.7,1.61,13.7,5.9
S-000041,2024-01-01 06:00,EQ-B02,,0.96,13.2,5.05
S-000042,2024-01-01 06:00,EQ-B03,39.1,1.0,15.8,5.08
S-000043,2024-01-01 06:00,EQ-B04,39.2,1.13,10.4,5.75
S-000044,2024-01-01 06:00,EQ-C01,40.6,1.63,13.4,5.42
S-000045,2024-01-01 06:00,EQ-C02,42.6,1.62,14.1,5.38
S-000046,2024-01-01 06:00,EQ-C03,40.1,1.88,14.1,5.24
S-000047,2024-01-01 06:00,EQ-C04,36.8,1.62,11.5,5.62
S-000048,2024-01-01 08:00,EQ-A02,41.9,2.18,14.3,4.81
S-000049,2024-01-01 08:00,EQ-A03,42.2,3.18,16.4,4.57
S-000050,2024-01-01 08:00,EQ-A04,42.1,1.53,11.5,5.25
S-000051,2024-01-01 08:00,EQ-B01,36.0,0.87,12.1,5.72
S-000052,2024-01-01 08:00,EQ-B02,36.2,1.27,14.5,5.45
S-000053,2024-01-01 08:00,EQ-B03,37.9,1.08,14.2,
S-000054,2024-01-01 08:00,EQ-B04,36.2,0.56,11.9,5.73
S-000055,2024-01-01 08:00,EQ-C01,38.7,1.94,13.8,5.11
S-000056,2024-01-01 08:00,EQ-C02,37.8,2.04,13.9,4.81
S-000057,2024-01-01 08:00,EQ-C03,38.2,1.9,14.7,5.01
S-000058,2024-01-01 08:00,EQ-C04,38.5,1.39,12.2,5.06
S-000059,2024-01-01 10:00,EQ-A01,40.7,2.2,15.6,5.33
S-000060,2024-01-01 10:00,EQ-A03,44.8,2.49,15.0,4.66
S-000061,2024-01-01 10:00,EQ-A04,39.9,1.87,10.7,5.02
S-000062,2024-01-01 10:00,EQ-B01,33.7,1.32,14.0,5.37
S-000063,2024-01-01 10:00,EQ-B02,37.1,1.2,15.3,5.43
S-000064,2024-01-01 10:00,EQ-B03,37.8,1.59,14.1,5.19
S-000065,2024-01-01 10:00,EQ-B04,34.7,4.2,11.1,5.37
S-000066,2024-01-01 10:00,EQ-C01,37.8,1.21,14.1,5.3
S-000067,2024-01-01 10:00,EQ-C02,41.9,1.34,12.6,5.12
S-000068,2024-01-01 10:00,EQ-C03,38.0,2.05,14.8,5.04
S-000069,2024-01-01 10:00,EQ-C04,35.6,1.26,12.2,5.25
S-000070,2024-01-01 12:00,EQ-A01,44.5,2.4,14.4,5.27
S-000071,2024-01-01 12:00,EQ-A02,43.2,2.41,13.6,4.97
S-000072,2024-01-01 12:00,EQ-A03,41.8,2.48,16.0,4.73
S-000073,2024-01-01 12:00,EQ-A04,40.5,1.98,11.8,5.22
S-000074,2024-01-01 12:00,EQ-B01,36.0,1.3,13.1,5.87
S-000075,2024-01-01 12:00,EQ-B02,37.3,1.1,13.1,5.18
S-000076,2024-01-01 12:00,EQ-B03,38.9,1.69,14.5,5.31
S-000077,2024-01-01 12:00,EQ-B04,37.8,0.47,11.5,5.4
S-000078,2024-01-01 12:00,EQ-C01,39.4,1.96,15.6,4.88
S-000079,2024-01-01 12:00,EQ-C03,37.1,2.58,13.6,5.14
S-000080,2024-01-01 12:00,EQ-C04,37.5,1.24,11.1,5.19
S-000081,2024-01-01 14:00,EQ-A01,41.5,2.41,14.5,5.06
S-000082,2024-01-01 14:00,EQ-A02,42.6,1.96,13.9,4.95
S-000083,2024-01-01 14:00,EQ-A03,44.4,3.09,15.6,4.8
S-000084,2024-01-01 14:00,EQ-A04,39.8,1.61,10.8,5.43
S-000085,2024-01-01 14:00,EQ-B01,35.7,1.65,14.3,5.64
S-000086,2024-01-01 14:00,EQ-B02,37.5,1.46,13.8,5.57
S-000087,2024-01-01 14:00,EQ-B03,38.2,1.63,12.7,5.29
