energy_id,timestamp,equipment_id,power_kwh,is_operating,ambient_temp_c
E-000001,2024-01-01 00:00,EQ-A01,4.01,False,2.3
E-000002,2024-01-01 00:00,EQ-A02,3.42,False,2.3
E-000003,2024-01-01 00:00,EQ-A03,4.69,False,2.3
E-000004,2024-01-01 00:00,EQ-A04,2.24,False,2.3
E-000005,2024-01-01 00:00,EQ-B01,0.67,False,2.3
E-000006,2024-01-01 00:00,EQ-B02,1.32,False,2.3
E-000007,2024-01-01 00:00,EQ-B03,0.83,False,2.3
E-000008,2024-01-01 00:00,EQ-B04,6.59,True,2.3
E-000009,2024-01-01 00:00,EQ-C01,16.94,True,2.3
E-000010,2024-01-01 00:00,EQ-C02,1.82,False,2.3
E-000011,2024-01-01 00:00,EQ-C03,3.26,False,2.3
E-000012,2024-01-01 00:00,EQ-C04,9.58,True,2.3
E-000013,2024-01-01 01:00,EQ-A01,3.93,False,-0.7
E-000014,2024-01-01 01:00,EQ-A02,3.84,False,-0.7
E-000015,2024-01-01 01:00,EQ-A03,23.43,True,-0.7
E-000016,2024-01-01 01:00,EQ-A04,12.38,True,-0.7
E-000017,2024-01-01 01:00,EQ-B01,0.2,False,-0.7
E-000018,2024-01-01 01:00,EQ-B02,0.19,False,-0.7
E-000019,2024-01-01 01:00,EQ-B03,1.14,False,-0.7
E-000020,2024-01-01 01:00,EQ-B04,0.84,False,-0.7
E-000021,2024-01-01 01:00,EQ-C01,13.86,True,-0.7
E-000022,2024-01-01 01:00,EQ-C02,2.2,False,-0.7
E-000023,2024-01-01 01:00,EQ-C03,19.12,True,-0.7
E-000024,2024-01-01 01:00,EQ-C04,1.12,False,-0.7
E-000025,2024-01-01 02:00,EQ-A01,3.62,False,4.1
E-000026,2024-01-01 02:00,EQ-A02,18.73,True,4.1
E-000027,2024-01-01 02:00,EQ-A03,4.77,False,4.1
E-000028,2024-01-01 02:00,EQ-A04,3.1,False,4.1
E-000029,2024-01-01 02:00,EQ-B01,0.49,False,4.1
E-000030,2024-01-01 02:00,EQ-B02,0.86,False,4.1
E-000031,2024-01-01 02:00,EQ-B03,0.67,False,4.1
E-000032,2024-01-01 02:00,EQ-B04,1.51,False,4.1
E-000033,2024-01-01 02:00,EQ-C01,16.47,True,4.1
E-000034,2024-01-01 02:00,EQ-C02,17.75,True,4.1
E-000035,2024-01-01 02:00,EQ-C03,3.6,False,4.1
E-000036,2024-01-01 02:00,EQ-C04,1.82,False,4.1
E-000037,2024-01-01 03:00,EQ-A01,3.81,False,2.3
E-000038,2024-01-01 03:00,EQ-A02,3.38,False,2.3
E-000039,2024-01-01 03:00,EQ-A03,5.03,False,2.3
E-000040,2024-01-01 03:00,EQ-A04,2.97,False,2.3
E-000041,2024-01-01 03:00,EQ-B01,1.14,False,2.3
E-000042,2024-01-01 03:00,EQ-B02,0.46,False,2.3
E-000043,2024-01-01 03:00,EQ-B03,1.16,False,2.3
E-000044,2024-01-01 03:00,EQ-B04,0.53,False,2.3
E-000045,2024-01-01 03:00,EQ-C01,1.48,False,2.3
E-000046,2024-01-01 03:00,EQ-C02,1.7,False,2.3
E-000047,2024-01-01 03:00,EQ-C03,3.3,False,2.3
E-000048,2024-01-01 03:00,EQ-C04,1.83,False,2.3
E-000049,2024-01-01 04:00,EQ-A01,3.85,False,6.4
E-000050,2024-01-01 04:00,EQ-A02,18.71,True,6.4
E-000051,2024-01-01 04:00,EQ-A03,,False,6.4
E-000052,2024-01-01 04:00,EQ-A04,3.2,False,6.4
E-000053,2024-01-01 04:00,EQ-B01,1.9,False,6.4
E-000054,2024-01-01 04:00,EQ-B02,,False,6.4
E-000055,2024-01-01 04:00,EQ-B03,1.59,False,6.4
E-000056,2024-01-01 04:00,EQ-B04,0.9,False,6.4
E-000057,2024-01-01 04:00,EQ-C01,2.64,False,6.4
E-000058,2024-01-01 04:00,EQ-C02,16.14,True,6.4
E-000059,2024-01-01 04:00,EQ-C03,24.97,True,6.4
E-000060,2024-01-01 04:00,EQ-C04,10.72,True,6.4
E-000061,2024-01-01 05:00,EQ-A01,17.23,True,1.3
E-000062,2024-01-01 05:00,EQ-A02,2.55,False,1.3
E-000063,2024-01-01 05:00,EQ-A03,23.86,True,1.3
E-000064,2024-01-01 05:00,EQ-A04,3.22,False,1.3
E-000065,2024-01-01 05:00,EQ-B01,10.33,True,1.3
